id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
64383,2011 Felt Z100,absent,Felt,Z100,2011,['White'],True,"San Francisco,94104",1450036456
64473,2012 Jamis Aurora Elite,WE2H00263,Jamis,Aurora Elite,2012,['Black'],True,"San Francisco,94110",1449986400
64379,2015 Handsome Cycles Fredward SS,PHA12120191,Handsome Cycles,Fredward SS,2015,['Black'],True,"Oakland,94610",1449986400
64384,2009 Giant TCR Alliance,0088-02883,Giant,TCR Alliance,2009,['Black'],True,"Berkeley,94703",1449986400
64520,Cilo,absent,Cilo,,,"['Blue', 'White']",True,"Berkeley,94720",1449986400
64557,2013 Giant Defy Composite 1,GF2C357,Giant,Defy Composite 1,2013,['White'],True,"San Francisco,94123",1449900000
64341,2011 Windsor,absent,Windsor,,2011,['White'],True,"San Francisco,CA,94102",1449900000
64348,2014 Kona DEW PLUS,AJ30136373,Kona,DEW PLUS,2014,['Brown'],True,"Oakland,94607",1449900000
64370,2014 Cannondale Caad10 3 Ultegra,absent,Cannondale,Caad10 3 Ultegra,2014,['Silver or Gray'],True,"San Francisco,94103",1449900000
64338,Sterling Bicycle Co.,absent,Sterling Bicycle Co.,,,['Blue'],True,"San Francisco,94110",1449900000
64378,2015 Specialized Vita Sport,WSBC602069557K,Specialized,Vita Sport,2015,['Blue'],True,"San Francisco,CA,94110",1449900000
64316,1992 Nishiki Olympic,absent,Nishiki,Olympic,1992,"['Blue', 'White']",True,"San Francisco,94102",1449813600
64307,2013 Salsa Vaya 3,m12051081,Salsa,Vaya 3,2013,['Red'],True,"San Francisco,94131",1449813600
64268,Fuji Junior,75C62926,Fuji,Junior,,['Red'],True,"San Francisco,CA,94110-1515",1449727200
64264,2013 Jamis Nova Sport,absent,Jamis,Nova Sport,2013,['Black'],True,"Oakland,94612",1449727200
64266,2014 Giant Escape 3,CC3J8100,Giant,Escape 3,2014,['Black'],True,"San Francisco,94110",1449727200
64173,2015 Raleigh Misceo 3.0,32-00-310,Raleigh,Misceo 3.0,2015,['Black'],True,"San Francisco,CA,94110",1449640800
64310,2000 Klein Bikes Quantum Race,WTU129069R,Klein Bikes,Quantum Race,2000,['Silver or Gray'],True,"San Francisco,94103",1449640800
64280,1975 Peugeot Reynolds 531,absent,Peugeot,Reynolds 531,1975,['Silver or Gray'],True,"San Francisco,CA,94110",1449640800
64240,1986 Peugeot PGN 10/PH 501?,B51130640,Peugeot,PGN 10/PH 501?,1986,"['Red', 'Yellow or Gold']",True,"San Francisco,94103",1449640800
64149,1963 Schwinn Hollywood,J362547,Schwinn,Hollywood,1963,['Teal'],True,"Alameda,94501",1449554400
64125,1986 Shogun,absent,Shogun,,1986,['Black'],True,"Oakland,94608",1449554400
64139,2015 Vessel 668,none,Vessel,668,2015,['Black'],True,"Oakland,94608",1449554400
64161,2002 Bianchi,absent,Bianchi,,2002,"['Teal', 'Yellow or Gold']",True,"San Francisco,94109",1449554400
64108,2009 Cervélo R3,absent,Cervélo,R3,2009,['White'],True,Walnut Creek,1449554400
64156,2015 Fuji touring,5WBD035L1083L,Fuji,touring,2015,['Green'],True,"Berkeley,94703",1449554400
64139,2015 Vessel 668,none,Vessel,668,2015,['Black'],True,"Oakland,94608",1449554400
64125,1986 Shogun,absent,Shogun,,1986,['Black'],True,"Oakland,94608",1449554400
64149,1963 Schwinn Hollywood,J362547,Schwinn,Hollywood,1963,['Teal'],True,"Alameda,94501",1449554400
64148,2015 Cannondale CAADX 22 Rival,CM40480,Cannondale,CAADX 22 Rival,2015,['Silver or Gray'],True,"San Francisco,94111",1449554400
64064,2000 Trek 5200 OCLV,WTUJ010772R TB1 0700,Trek,5200 OCLV,2000,['Blue'],True,"San Francisco,94102",1449468000
64084,1982 Fuji Road Bike,FJ117821,Fuji,Road Bike,1982,['Black'],True,San Francisco,1449468000
64067,Parkpre XComp SE,F4039442,Parkpre,XComp SE,,['Silver or Gray'],True,"Berkeley,94704",1449468000
